contig_id	contig_srt	contig_end	region_id	attributes	gc_count	overlaps	fwd_e2e	rev_e2e	total_reads	fwd_reads	rev_reads	cov150x	cov500x	cov2500x
chr6	31207057	31207261	AMPL3926668	SUBMITTED_REGION=rs185386680;Pool=2	83	1	0	0	1	1	0	0	0	0
chr17	30237134	30237368	AMPL3925991	SUBMITTED_REGION=rs25531;Pool=2	169	2	0	0	2	1	1	0	0	0
chr19	40848933	40849146	AMPL3926093	SUBMITTED_REGION=rs114114578;Pool=1	101	25	0	0	34	9	25	0	0	0
chr6	31414341	31414576	AMPL3926201	SUBMITTED_REGION=rs188729361;Pool=1	154	96	33	35	91	42	49	0	0	0
chr22	42628117	42628271	AMPL3926510	SUBMITTED_REGION=rs121965006,rs121965008,rs200872504;Pool=1	90	147	50	60	147	74	73	0	0	0
chr22	42129523	42129760	AMPL3926426	SUBMITTED_REGION=CYP2D6cnv44.4.64739,Hs04083572_cn,SP_815.4.124704;Pool=1	160	9547	30	61	198	123	75	197	29	25
chr6	18139546	18139757	AMPL3925990	SUBMITTED_REGION=rs12201199,rs200220210;Pool=1	79	475	16	17	475	170	305	212	0	0
chr10	114045267	114045502	AMPL3091682	SUBMITTED_REGION=rs1801253;Pool=2	190	479	41	45	479	296	183	234	0	0
chr6	31453616	31453837	AMPL3926313	SUBMITTED_REGION=rs144027808;Pool=2	67	496	4	50	496	9	487	125	0	0
chr15	74745797	74746018	AMPL2649381	SUBMITTED_REGION=rs2069514;Pool=1	109	592	39	169	592	47	545	222	65	0
chr19	41004065	41004301	AMPL3926466	SUBMITTED_REGION=2B6Ex2F;Pool=2	142	22104	294	5	800	543	257	237	219	50
chr6	31313669	31313859	AMPL3698522	SUBMITTED_REGION=rs10484555;Pool=2	52	846	382	389	846	414	432	191	191	0
chr6	31267268	31267385	AMPL3926517	SUBMITTED_REGION=rs371096447;Pool=2	51	894	452	331	894	532	362	118	118	0
chr6	31415731	31415942	AMPL3926476	SUBMITTED_REGION=rs115841246;Pool=2	115	1085	451	472	1085	563	522	212	212	0
chr6	31302124	31302331	AMPL3926172	SUBMITTED_REGION=rs12211087;Pool=2	59	1123	2	140	1123	603	520	207	206	0
chr19	40949476	40949666	AMPL3925912	SUBMITTED_REGION=2B7Ex9F;Pool=2	103	2477	372	563	1392	689	703	191	191	0
chr6	31448662	31448790	AMPL3925968	SUBMITTED_REGION=rs143527370;Pool=2	31	1511	619	780	1511	702	809	129	129	0
chr11	108412307	108412528	AMPL3922006	SUBMITTED_REGION=rs11212617;Pool=1	66	1683	1113	166	1683	1274	409	222	222	0
chr3	165773418	165773641	AMPL3219749	SUBMITTED_REGION=rs1803274;Pool=2	63	1722	743	796	1722	796	926	224	224	0
chr6	31379469	31379697	AMPL3926491	SUBMITTED_REGION=rs190938408;Pool=2	113	1847	0	18	1845	33	1812	76	48	0
chr1	97515750	97515938	AMPL2503449	SUBMITTED_REGION=rs148994843,rs1801158,rs1801159,rs55886062;Pool=2	87	1862	855	878	1862	919	943	189	189	0
chr19	40940308	40940529	AMPL3926248	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	112	10724	254	1138	1871	370	1501	222	222	16
chr19	41007427	41007642	AMPL3926470	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	102	5580	0	672	1895	12	1883	216	216	25
chr19	41008441	41008581	AMPL3926440	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	70	10892	1695	68	1918	1814	104	141	141	24
chr19	41008229	41008448	AMPL3926044	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	113	6396	269	1309	1965	379	1586	220	220	14
chr1	247448654	247448873	AMPL3926265	SUBMITTED_REGION=rs10754558;Pool=2	94	2073	156	1469	2073	249	1824	220	220	0
chr19	41007535	41007770	AMPL3925971	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	130	10410	0	0	2081	7	2074	169	169	14
chr12	21174760	21174977	AMPL3926354	SUBMITTED_REGION=rs4149036;Pool=1	56	2087	955	947	2087	1095	992	218	218	0
chr11	64535426	64535576	AMPL3547755	SUBMITTED_REGION=rs11231809;Pool=2	59	2199	952	1126	2199	1017	1182	151	151	0
chr19	41009567	41009742	AMPL3926221	SUBMITTED_REGION=2B6Ex5;Pool=1	88	12261	632	260	2200	794	1406	176	176	75
chr19	40944527	40944746	AMPL3926549	SUBMITTED_REGION=2B7Ex7F;Pool=2	101	11402	77	1419	2225	166	2059	220	220	72
chr1	97691707	97691927	AMPL2654412	SUBMITTED_REGION=rs1801266;Pool=2	73	2274	622	1010	2274	1058	1216	221	221	0
chr7	117664659	117664881	AMPL2687211	SUBMITTED_REGION=rs193922525;Pool=1	106	2357	807	932	2357	1187	1170	223	223	0
chr10	94965750	94965820	AMPL3547871	SUBMITTED_REGION=rs4917639;Pool=2	21	2413	1172	1047	2413	1349	1064	71	71	0
chr15	74747192	74747408	AMPL3926632	SUBMITTED_REGION=rs35694136;Pool=2	100	2787	1836	110	2787	2605	182	217	217	118
chr10	59672789	59673009	AMPL3926295	SUBMITTED_REGION=rs550527563;Pool=2	82	2838	2441	127	2838	2661	177	221	221	217
chr19	41008039	41008229	AMPL3926088	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	60	7982	1041	149	2938	1213	1725	191	191	190
chr4	87845025	87845247	AMPL3926503	SUBMITTED_REGION=rs753138805;Pool=2	74	2961	183	1921	2961	932	2029	223	223	54
chr6	31449951	31450164	AMPL3926349	SUBMITTED_REGION=rs2523694;Pool=1	61	3023	1557	1136	3023	1683	1340	214	214	213
chr6	31285494	31285702	AMPL3926165	SUBMITTED_REGION=rs9461684;Pool=2	75	3129	317	135	3129	2969	160	209	156	43
chr19	41008704	41008870	AMPL3926091	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	55	17104	1115	921	3225	2159	1066	167	167	122
chr1	97098501	97098720	AMPL3658614	SUBMITTED_REGION=rs1801267;Pool=2	73	3272	1334	1494	3272	1429	1843	220	220	220
chr19	40940091	40940308	AMPL3926386	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	61	4811	4	6	3294	1572	1722	218	218	2
chr10	94947690	94947896	AMPL3926579	SUBMITTED_REGION=rs72558190,rs774550549;Pool=1	62	9791	1476	1160	3315	1897	1418	207	207	206
chr4	68655102	68655315	AMPL3925960	SUBMITTED_REGION=rs148583958;Pool=2	72	3393	1138	2024	3393	1191	2202	214	214	214
chr19	41007947	41008085	AMPL3926218	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	50	12476	641	212	3474	821	2653	139	139	91
chr13	48045617	48045835	AMPL3698542	SUBMITTED_REGION=rs116855232,rs147390019;Pool=2	86	3524	1548	1249	3524	2186	1338	219	219	219
chr6	35702202	35702418	AMPL3926604	SUBMITTED_REGION=rs4713916;Pool=1	68	3547	1747	619	3547	2268	1279	217	217	217
chr4	68570364	68570528	AMPL3926512	SUBMITTED_REGION=rs6817882;Pool=1	65	3585	1479	1083	3585	1608	1977	165	165	165
chr1	65610218	65610440	AMPL3926132	SUBMITTED_REGION=rs1805094;Pool=1	62	3588	1264	1747	3588	1704	1884	223	223	223
chr7	117611445	117611622	AMPL3925914	SUBMITTED_REGION=rs150212784,rs397508513;Pool=1	49	12692	1293	1630	3594	1645	1949	178	178	176
chr6	31318054	31318260	AMPL3926155	SUBMITTED_REGION=rs3130690;Pool=1	82	3606	1744	1648	3606	1851	1755	205	205	205
chr7	117508951	117509137	AMPL3926368	SUBMITTED_REGION=rs115545701,rs368505753,rs397508256;Pool=2	63	3650	1487	1339	3650	1819	1831	187	187	187
chr6	18138902	18139117	AMPL2683406	SUBMITTED_REGION=rs112339338,rs144041067,rs1800460;Pool=2	74	3654	2572	210	3654	3377	277	216	215	214
chr6	31287025	31287243	AMPL3926546	SUBMITTED_REGION=rs185615899;Pool=1	79	3688	2571	754	3688	2879	809	219	219	216
chr19	44908797	44908998	AMPL3926182	SUBMITTED_REGION=rs7412;Pool=2	159	4064	1066	1362	3737	1999	1738	202	202	199
chr19	41012399	41012627	AMPL3926257	SUBMITTED_REGION=2B6Ex7,2B6Ex8,rs34097093;Pool=1	111	18689	3	1943	3752	100	3652	229	229	42
chr6	31140486	31140716	AMPL3926367	SUBMITTED_REGION=rs190335533;Pool=2	113	3796	240	21	3796	3722	74	231	174	141
chr10	94849898	94850112	AMPL2683317	SUBMITTED_REGION=rs17879685;Pool=1	80	3804	1926	815	3804	2271	1533	215	215	215
chr5	75359586	75359808	AMPL3926142	SUBMITTED_REGION=rs17238540;Pool=2	83	3840	1509	1893	3840	1854	1986	223	223	223
chr7	99649984	99650205	AMPL2194138	SUBMITTED_REGION=rs41279854;Pool=1	75	3847	1699	1285	3847	1939	1908	222	222	222
chr6	30051362	30051574	AMPL3925987	SUBMITTED_REGION=rs259945;Pool=2	53	3892	1511	1819	3892	1771	2121	213	213	212
chr1	201091877	201092104	AMPL2527736	SUBMITTED_REGION=rs772226819;Pool=2	136	3913	560	1139	3913	726	3187	228	228	203
chr19	40851398	40851621	AMPL3926460	SUBMITTED_REGION=rs4803381;Pool=1	96	3917	1923	1635	3917	2085	1832	224	224	224
chr12	21130278	21130498	AMPL2649373	SUBMITTED_REGION=rs4149015;Pool=2	67	3925	1797	1382	3925	1938	1987	221	221	221
chr6	31247658	31247881	AMPL3926008	SUBMITTED_REGION=rs6936478;Pool=1	78	3936	2125	1409	3936	2306	1630	224	224	224
chr10	94938821	94939034	AMPL3926246	SUBMITTED_REGION=rs564813580;Pool=2	74	4877	1767	1638	3980	1925	2055	214	214	214
chr19	41009139	41009375	AMPL3926529	SUBMITTED_REGION=2B6Ex5,2B7P12B6In4Ex5,rs2279343;Pool=1	130	5467	476	1343	4014	2178	1836	237	237	234
chr19	38500532	38500740	AMPL2529734	SUBMITTED_REGION=rs118192122,rs118192124,rs121918594,rs193922816,rs28933397;Pool=1	135	4021	1300	1119	4021	1993	2028	209	209	208
chr12	21172690	21172909	AMPL2683214	SUBMITTED_REGION=rs2291073;Pool=2	69	4092	1757	1839	4092	2180	1912	220	220	220
chr19	40944730	40944957	AMPL3925986	SUBMITTED_REGION=2B7Ex7F;Pool=1	102	13742	335	1487	4097	2011	2086	228	228	228
chr19	41007253	41007442	AMPL3925933	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	84	12365	717	1096	4101	1593	2508	190	190	190
